CustomerToken,TotalSpend,AvgSpend,Transactions
4bf42404549fa4ee9a7580c8,72830.78,7283.0779999999995,10
48eeae7afba9ca951402e3ee,65456.28999999999,5454.690833333333,12
fc7d8fcce0874ebb4877b5b3,61686.29,4406.163571428571,14
6382f6db5528feccedbc00c3,58334.729999999996,4487.286923076923,13
4e32094cb8d7bb0fba12a0de,58232.44,8318.92,7
460c4fae5dc0a42ae208c7a6,57019.07,4751.589166666667,12
ad908fa576d68f6ce5da7233,56117.06,6235.228888888889,9
684edfc56e008d87e485098c,53672.43,5367.243,10
845e655ae57a1578857d7011,53478.43,4456.535833333333,12
e52323f99bd89db3a7fa1248,52750.69,6593.83625,8
6c3cb30710ba373cd210c84a,52051.32,5783.48,9
3e937b64a04069fe15efcfc9,51917.24,3461.1493333333333,15
6cd6b817b999bdef04c73082,50892.7,4626.609090909091,11
db7506aad57d3274bb21651e,50596.97,4599.7245454545455,11
dd4ebc1454fbd3d6de08445d,50478.57,3605.6121428571428,14
98bb7539c8d8bc815c6fc626,48679.64,3477.117142857143,14
cd8dc010df18fc4bef2a1f46,48217.96000000001,3013.6225000000004,16
fd03bf7c6d9d547ae757da77,47246.369999999995,5905.796249999999,8
d82f34d66b72143051ff01d7,46737.119999999995,4673.7119999999995,10
b18796b8894e5807b8fc1a62,46596.86,4659.686,10
c26d6a0ad81471997d8687cf,46167.44,5770.93,8
f0ab2e68baf0bdc8cdc1baeb,45333.58,7555.596666666667,6
c6a8c60c3326ad6cefe01c16,45278.14,5659.7675,8
4e2dbeff5dde57bc1d55fc64,44658.68,5582.335,8
cc9abcaf38dc0701b0f62d41,43705.82,3121.844285714286,14
faab74fccfadfd65cf9dac36,43580.3,4842.2555555555555,9
3aa1dc922ff7a49a0c589942,43061.5,4784.611111111111,9
f1b54fd78857b1a5c0d570fc,42590.82,3549.235,12
fd2da88f96eec19bc818a7c2,41244.61,8248.922,5
16241e509ea4d98e7a8ca569,40874.9,5109.3625,8
e698d95700880c1e2cfd13d5,40673.810000000005,4067.3810000000003,10
40b91dc4a02bf43f09ee991c,40407.53,5772.504285714285,7
fdb75bca68f9f55e728d42be,40275.04,5753.577142857143,7
4c5f7e2e6eba56e515391cc9,40196.909999999996,5024.6137499999995,8
ba9dbe3e1415d8b304eb01f9,39805.96,4975.745,8
e96e13c8ef4ad7c32a861f03,39788.09,4973.51125,8
0d89a813a938741e1f59c307,39136.71,3913.671,10
673972f1e529bbe92254748c,37316.57,3109.7141666666666,12
505e6418dd798aea5a622b39,37206.48,4650.81,8
b7e8aba7adf5701d7a887202,35633.5,3959.277777777778,9
5fca92cf66eb9df2a72d51fd,35618.84,4452.355,8
b1033b4978f64679f1dd2270,35328.479999999996,5888.079999999999,6
f14ba6bd1c0ffbd680e0ca20,35311.159999999996,4413.8949999999995,8
560ea99138bd75667af9206e,34692.58,5782.096666666667,6
216d00cc90f7733fe9ccaf11,34464.600000000006,2651.1230769230774,13
4fa3aa3ac64cc422141a2fcb,34458.71,3445.871,10
3381361397c9366800f2532c,34421.87,4302.73375,8
6ac68252658063415e297aca,34281.46,3428.1459999999997,10
887d70ea3149ff9a1e65ea45,34194.04,3799.337777777778,9
583ae818a837a9ae14c870c0,34099.31,3788.812222222222,9
fa80c4338d49c5d578ee9258,33234.76,3021.3418181818183,11
8b08bb167e0fbb320c836321,33133.520000000004,5522.253333333334,6
3cb181f300a205a7dfd84b0a,33048.25,4721.178571428572,7
62973540e2092332b8aa2c39,32945.65,4706.521428571429,7
96d3a85ca31feb05a6d04697,32708.34,5451.39,6
a15ebdfd676242cd24e4c125,32568.26,3618.6955555555555,9
68a049b5475c9065b1c7d31d,32427.68,3242.768,10
0f26b6882a2b36ce988a825b,32395.72,4049.465,8
c90fd08fa103e09376c4b00d,32387.350000000002,2313.382142857143,14
3e3d32093b30c8d1a6cc0122,32200.57,3577.841111111111,9
0a3837c5705b8d80f0839727,32151.61,4593.087142857143,7
5948f4227302bbb438086763,31366.67,5227.778333333333,6
88f9cdf608c9cd6076d9d9e1,31343.25,2849.3863636363635,11
898d7e78f6ba9c0e258f284a,30999.48,3099.948,10
05fad4316a383a0e874b86a5,30842.08,3426.897777777778,9
c6e932b847a88dfc3a1b79f8,30491.98,3811.4975,8
2dc86fac929e5bfe0c58bccd,30173.32,4310.4742857142855,7
416a326da2e966de67dadff6,29930.83,2720.9845454545457,11
f1d7e389147ad635b0bedef5,29469.989999999998,3274.443333333333,9
a84c042156de289e1c9f2088,28846.75,4120.964285714285,7
ecac8813c8236bebb006a67e,28254.36,2354.53,12
f809f235c2ec7fc9e4685e96,28186.05,3523.25625,8
5e7f33ed7b7deb37bf0868bc,27995.82,3999.402857142857,7
53b4dcaa1f57b606bb72c4a1,27820.010000000002,3974.287142857143,7
650dd356d2a606dd2dbc778b,27435.309999999998,5487.062,5
c5b63e3f706831987eb6efa9,27321.01,3035.6677777777777,9
60c9194627b27530f06bf78e,27182.07,3397.75875,8
19cbbbce7bddd3bd24c5dbe3,27029.97,2702.9970000000003,10
bb34d12591309b4f6bac6bc1,27026.48,4504.413333333333,6
37842ac4d91d62eed0726590,26944.059999999998,3368.0074999999997,8
aa997b4a5b6210e73124d2be,26884.64,2688.464,10
f70c7308c474d6ae0e14d1df,26803.71,2978.19,9
34969e554ba2fed34a00fa42,26491.23,2649.123,10
08994c0767bc3c45e7b5de71,26321.59,6580.3975,4
79c0f6a00d7b278e2d2041ba,25880.5,5176.1,5
891d80dae01f937755519d93,25409.52,2823.28,9
72b8ae9e36935abf92da5263,25304.86,2811.6511111111113,9
aa07fec70f38cae18ba32faf,24975.25,4162.541666666667,6
68c027e72d3857bda1cfb96c,24436.62,4887.324,5
b0eee3bde7ac3f67ece3bb5c,24023.89,2402.389,10
f2092c084458ccca7eba8073,23902.91,3414.7014285714286,7
0d47cbc6094b16cbe984be18,23866.7,4773.34,5
03ce144a12ed0ce5d32bce57,23060.64,2306.064,10
7ae9c1a4242f4f5a71846dbc,23036.29,1919.6908333333333,12
4f4b14f1902e846be18e69d6,22902.43,1761.7253846153847,13
90e009fe3e6ce06466692185,22362.21,2795.27625,8
d59a864fe618822c6939b371,22114.739999999998,2764.3424999999997,8
ad453831cb594c51ad58fc08,20704.47,3450.7450000000003,6
312c013aeddcbfd649479b96,19136.2,3189.366666666667,6
42abc8698821ec20497a5ec7,18894.44,4723.61,4
6b3bbb717171fc3f704ac217,18299.18,2287.3975,8
fec0dd9dc7ed4fa8058bf62e,18171.65,3028.6083333333336,6
16bfb3b8e9f6469736f42579,17461.28,2182.66,8
2e9fd87e3435b45d2ce64cd1,17345.41,2477.9157142857143,7
52e14b13d66a5abe27f64e4a,17266.55,2877.758333333333,6
b77eb248ec3b15ad64bfdea5,16856.72,2809.4533333333334,6
be0f10c75e717cc401a0dc9d,15412.43,2568.7383333333332,6
75eb1d938da247da1291f425,15336.86,2556.1433333333334,6
e572d84e3b98856b0125e78b,13917.439999999999,1988.205714285714,7
021d4e20bc5d717eca75152c,13755.54,2292.59,6
f81e5d03f55b6a542071b255,12578.75,2515.75,5
8a67fc2ac84b7e72101893e8,10943.42,1823.9033333333334,6
0c391eb9cba7357f9e7e80b4,10465.64,2093.1279999999997,5
dbb8011504d20eaf937dba66,10432.81,2086.562,5
6322e7cc5f4746e20683aa34,10391.82,1731.97,6
b1d3087ba7f99e6099ff0b8a,10211.01,2042.202,5
8f15c955311a30ee25f986b4,4176.36,1392.12,3
6955e95c99d69c32c92fc61f,3271.6,1635.8,2
567a79aa3ed592c7d492dc1d,2970.87,1485.435,2
9241e364ef589bb3a3d6be32,1096.7,1096.7,1
